;order;family;n;mean_c;median_c;sd_c;min_c;max_c;source
Acris_crepitans;Anura;Hylidae;2;4.115;4.115;0.049497475;4.08;4.15;gsDB
Acris_gryllus;Anura;Hylidae;3;4.233333333;4.49;0.444559707;3.72;4.49;gsDB
Adelotus_brevis;Anura;Limnodynastidae;1;2.1;2.1;NA;2.1;2.1;gsDB
Adenomera_hylaedactyla;Anura;Leptodactylidae;2;1.992604192;1.992604192;0.069050533;1.943778092;2.041430292;EBD
Afghanodon_mustersi;Urodela;Hynobiidae;1;21.65;21.65;NA;21.65;21.65;gsDB
Afrixalus_fornasini;Anura;Hyperoliidae;1;5.57;5.57;NA;5.57;5.57;gsDB
Agalychnis_callidryas;Anura;Phyllomedusidae;1;5.254850032;5.254850032;NA;5.254850032;5.254850032;EBD
Aglyptodactylus_madagascariensis;Anura;Mantellidae;1;3.05;3.05;NA;3.05;3.05;gsDB
Allobates_femoralis;Anura;Aromobatidae;1;7.11;7.11;NA;7.11;7.11;gsDB
Allophryne_ruthveni;Anura;Allophrynidae;2;2.077420987;2.077420987;0.134961397;1.981988869;2.172853106;EBD
Alytes_cisternasii;Anura;Alytidae;1;6.7;6.7;NA;6.7;6.7;gsDB
Alytes_dickhilleni;Anura;Alytidae;3;11.07573362;11.49569574;0.973247172;9.963015655;11.76848947;EBD
Alytes_muletensis;Anura;Alytidae;1;4.281788534;4.281788534;NA;4.281788534;4.281788534;EBD
Alytes_obstetricans;Anura;Alytidae;3;9.186666667;9.78;1.027683479;8;9.78;gsDB
Ambystoma_californiense;Urodela;Ambystomatidae;1;32;32;NA;32;32;gsDB
Ambystoma_cingulatum;Urodela;Ambystomatidae;1;29.5;29.5;NA;29.5;29.5;gsDB
Ambystoma_gracile;Urodela;Ambystomatidae;1;42;42;NA;42;42;gsDB
Ambystoma_jeffersonianum;Urodela;Ambystomatidae;2;26.965;26.965;2.595081887;25.13;28.8;gsDB
Ambystoma_laterale;Urodela;Ambystomatidae;3;34.68333333;34.5;5.577260379;29.2;40.35;gsDB
Ambystoma_mabeei;Urodela;Ambystomatidae;1;25.8;25.8;NA;25.8;25.8;gsDB
Ambystoma_macrodactylum;Urodela;Ambystomatidae;3;28.72333333;26.17;4.570517841;26;34;gsDB
Ambystoma_maculatum;Urodela;Ambystomatidae;7;33.02571429;32;6.409750014;26;44;gsDB
Ambystoma_mexicanum;Urodela;Ambystomatidae;5;34.75;35.5;9.643909995;21.85;48;gsDB
Ambystoma_opacum;Urodela;Ambystomatidae;6;30.69166667;32.05;5.629790109;23.83;36.11;gsDB
Ambystoma_talpoideum;Urodela;Ambystomatidae;4;29.71;30.75;2.321220943;26.25;31.09;gsDB
Ambystoma_texanum;Urodela;Ambystomatidae;3;25.17;24.41;1.683953681;24;27.1;gsDB
Ambystoma_tigrinum;Urodela;Ambystomatidae;9;31.57;27.6;6.350907415;24.33;41.5;gsDB
Ameerega_trivittata;Anura;Dendrobatidae;1;8.49;8.49;NA;8.49;8.49;gsDB
Amietia_angolensis;Anura;Pyxicephalidae;1;2.61;2.61;NA;2.61;2.61;gsDB
Amphiuma_means;Urodela;Amphiumidae;6;81.90333333;79.745;8.552039913;74.95;96;gsDB
Anaxyrus_americanus;Anura;Bufonidae;5;5.166;5;0.738464623;4.34;6.35;gsDB
Anaxyrus_cognatus;Anura;Bufonidae;1;5.6;5.6;NA;5.6;5.6;gsDB
Anaxyrus_debilis;Anura;Bufonidae;1;5.3;5.3;NA;5.3;5.3;gsDB
Anaxyrus_fowleri;Anura;Bufonidae;5;5.486;5.29;0.930016129;4.75;7.1;gsDB
Anaxyrus_punctatus;Anura;Bufonidae;1;5.3;5.3;NA;5.3;5.3;gsDB
Anaxyrus_quercicus;Anura;Bufonidae;1;3.32;3.32;NA;3.32;3.32;gsDB
Anaxyrus_retiformis;Anura;Bufonidae;1;6.7;6.7;NA;6.7;6.7;gsDB
Anaxyrus_terrestris;Anura;Bufonidae;5;5;5.45;0.706257743;4.01;5.55;gsDB
Andrias_davidianus;Urodela;Cryptobranchidae;1;50;50;NA;50;50;gsDB
Andrias_japonicus;Urodela;Cryptobranchidae;2;46.49;46.49;0.014142136;46.48;46.5;gsDB
Aneides_aeneus;Urodela;Plethodontidae;3;43.79666667;43.19;1.219029669;43;45.2;gsDB
Aneides_ferreus;Urodela;Plethodontidae;3;42.5;42.4;1.652271164;40.9;44.2;gsDB
Aneides_flavipunctatus;Urodela;Plethodontidae;3;44.76666667;45.4;1.644181661;42.9;46;gsDB
Aneides_hardii;Urodela;Plethodontidae;2;32.65;32.65;3.606244584;30.1;35.2;gsDB
Aneides_lugubris;Urodela;Plethodontidae;4;42.77;42.9;5.685384771;35.68;49.6;gsDB
Anodonthyla_boulengerii;Anura;Microhylidae;1;4.75;4.75;NA;4.75;4.75;gsDB
Aquiloeurycea_cephalica;Urodela;Plethodontidae;1;40.2;40.2;NA;40.2;40.2;gsDB
Arthroleptis_stenodactylus;Anura;Arthroleptidae;1;3.37;3.37;NA;3.37;3.37;gsDB
Arthroleptis_xenodactyloides;Anura;Arthroleptidae;1;2.722457859;2.722457859;NA;2.722457859;2.722457859;EBD
Ascaphus_montanus;Anura;Ascaphidae;3;3.692673637;3.924194877;0.703031117;2.903079812;4.250746222;EBD
Ascaphus_truei;Anura;Ascaphidae;4;4.1325;4.16;0.139373599;3.95;4.26;gsDB
Astylosternus_batesi;Anura;Arthroleptidae;1;4.77754407;4.77754407;NA;4.77754407;4.77754407;EBD
Astylosternus_diadematus;Anura;Arthroleptidae;3;4.270152066;4.708415582;1.104335153;3.013957172;5.088083444;EBD
Atelopus_flavescens;Anura;Bufonidae;1;6.86;6.86;NA;6.86;6.86;gsDB
Babina_okinavana;Anura;Ranidae;1;4.35;4.35;NA;4.35;4.35;gsDB
Barbarophryne_brongersmai;Anura;Bufonidae;1;5.7;5.7;NA;5.7;5.7;gsDB
